,Date,Open,High,Low,Close
1,2003-04-01,0.2536,0.2555,0.2512,0.2529
2,2003-04-02,0.2564,0.2623,0.2548,0.2607
3,2003-04-03,0.26,0.2625,0.2563,0.2582
4,2003-04-04,0.2593,0.262,0.257,0.2573
5,2003-04-07,0.2652,0.267,0.2573,0.2588
6,2003-04-08,0.2591,0.2616,0.2565,0.258
7,2003-04-09,0.2593,0.2611,0.2525,0.2534
8,2003-04-10,0.2536,0.257,0.2536,0.2566
9,2003-04-11,0.2509,0.2579,0.2309,0.2357
10,2003-04-14,0.2448,0.2455,0.2411,0.2425
11,2003-04-15,0.2427,0.2429,0.2375,0.2391
12,2003-04-16,0.232,0.2441,0.2307,0.2364
13,2003-04-17,0.2357,0.2366,0.2271,0.2343
14,2003-04-21,0.2345,0.2355,0.2318,0.2345
15,2003-04-22,0.2354,0.2432,0.2338,0.2414
16,2003-04-23,0.2416,0.2434,0.2388,0.2425
17,2003-04-24,0.2414,0.243,0.2321,0.24
18,2003-04-25,0.2404,0.2425,0.2363,0.2384
19,2003-04-28,0.2407,0.2493,0.2398,0.2475
20,2003-04-29,0.2496,0.2529,0.2425,0.2511
21,2003-04-30,0.2488,0.2563,0.2473,0.2539
22,2003-05-01,0.2545,0.257,0.25,0.2564
23,2003-05-02,0.2582,0.2605,0.2561,0.258
24,2003-05-05,0.2638,0.3014,0.2634,0.2873
25,2003-05-06,0.2879,0.3196,0.2876,0.3125
26,2003-05-07,0.3095,0.3257,0.3055,0.3152
27,2003-05-08,0.3161,0.3227,0.3089,0.3214
28,2003-05-09,0.3273,0.3286,0.3193,0.3268
29,2003-05-12,0.3241,0.3346,0.3238,0.3314
30,2003-05-13,0.3291,0.3388,0.3205,0.3334
31,2003-05-14,0.3363,0.3364,0.3291,0.3313
32,2003-05-15,0.3321,0.3366,0.3298,0.3345
33,2003-05-16,0.332,0.3393,0.3264,0.3357
34,2003-05-19,0.3309,0.333,0.3225,0.3232
35,2003-05-20,0.3232,0.3243,0.3143,0.3177
36,2003-05-21,0.3177,0.32299999999999995,0.3155,0.3188
37,2003-05-22,0.3195,0.3286,0.3168,0.3257
38,2003-05-23,0.3252,0.3296,0.3207,0.3271
39,2003-05-27,0.3207,0.3375,0.3198,0.3371
40,2003-05-28,0.3304,0.3331,0.3241,0.3264
41,2003-05-29,0.3266,0.3304,0.3196,0.3232
42,2003-05-30,0.3236,0.3246,0.313,0.3205
43,2003-06-02,0.3232,0.3266,0.3084,0.3116
44,2003-06-03,0.0,0.0,0.0,0.3116
45,2003-06-04,0.3089,0.3177,0.3061,0.3143
46,2003-06-05,0.3116,0.3168,0.3095,0.315
47,2003-06-06,0.3168,0.3221,0.3061,0.3063
48,2003-06-09,0.3025,0.3043,0.297,0.2998
49,2003-06-10,0.3016,0.3088,0.2991,0.3068
50,2003-06-11,0.3063,0.3127,0.3003,0.3116
51,2003-06-12,0.3134,0.3193,0.3116,0.3173
52,2003-06-13,0.317,0.3205,0.3059,0.3111
53,2003-06-16,0.3143,0.3263,0.3116,0.3263
54,2003-06-17,0.3288,0.3304,0.3213,0.3248
55,2003-06-18,0.3295,0.3479,0.3269,0.3414
56,2003-06-19,0.3457,0.3502,0.3352,0.3418
57,2003-06-20,0.3455,0.3496,0.3375,0.3429
58,2003-06-23,0.3447,0.3516,0.3348,0.3404
59,2003-06-24,0.3477,0.3513,0.3343,0.3354
60,2003-06-25,0.3368,0.3464,0.3341,0.3409
61,2003-06-26,0.3339,0.345,0.3339,0.3445
62,2003-06-27,0.3446,0.3448,0.33,0.3345
63,2003-06-30,0.3336,0.343,0.332,0.3404
64,2003-07-01,0.337,0.3425,0.3305,0.3409
65,2003-07-02,0.3398,0.3464,0.3396,0.3441
66,2003-07-03,0.3393,0.3491,0.3389,0.3416
67,2003-07-07,0.3441,0.3604,0.3416,0.3548
68,2003-07-08,0.3486,0.3661,0.348,0.3643
69,2003-07-09,0.3609,0.3652,0.3551,0.3552
70,2003-07-10,0.355,0.3561,0.3459,0.3496
71,2003-07-11,0.3511,0.3571,0.3488,0.3545
72,2003-07-14,0.3573,0.3643,0.3548,0.3554
73,2003-07-15,0.3575,0.3614,0.34700000000000003,0.3502
74,2003-07-16,0.3566,0.3571,0.3461,0.3548
75,2003-07-17,0.3605,0.3741,0.3595,0.3732
76,2003-07-18,0.3732,0.3782,0.3643,0.3725
77,2003-07-21,0.3695,0.3714,0.3625,0.368
78,2003-07-22,0.3727,0.3743,0.3661,0.3714
79,2003-07-23,0.3741,0.3743,0.3654,0.3713
80,2003-07-24,0.3757,0.3839,0.3639,0.3663
81,2003-07-25,0.3645,0.3852,0.3643,0.3846
82,2003-07-28,0.3839,0.384,0.3725,0.3748
83,2003-07-29,0.3748,0.3764,0.3664,0.37
84,2003-07-30,0.3709,0.3732,0.3602,0.3621
85,2003-07-31,0.3704,0.3813,0.3673,0.3764
86,2003-08-01,0.375,0.3798,0.3686,0.3702
87,2003-08-04,0.3666,0.3839,0.3621,0.3787
88,2003-08-05,0.3813,0.3821,0.3589,0.3639
89,2003-08-06,0.3582,0.3602,0.3482,0.3505
90,2003-08-07,0.3523,0.3588,0.3468,0.3559
91,2003-08-08,0.3591,0.3595,0.35,0.3507
92,2003-08-11,0.3539,0.3559,0.3484,0.3511
