,Date,Open,High,Low,Close
1,2015-02-09,42.24,42.74,42.21,42.36
2,2015-02-10,42.74,42.77,42.18,42.6
3,2015-02-11,42.65,42.65,42.21,42.38
4,2015-02-12,42.66,43.09,42.51,43.09
5,2015-02-13,43.38,43.87,43.15,43.87
6,2015-02-17,43.97,44.0,43.19,43.58
7,2015-02-18,43.63,43.7,43.39,43.53
8,2015-02-19,43.18,43.53,43.05,43.5
9,2015-02-20,43.51,43.88,43.29,43.86
10,2015-02-23,43.7,44.19,43.65,44.15
11,2015-02-24,44.15,44.3,43.92,44.09
12,2015-02-25,43.95,44.09,43.8,43.99
13,2015-02-26,43.99,44.23,43.89,44.06
14,2015-02-27,44.13,44.2,43.66,43.85
15,2015-03-02,43.67,44.19,43.55,43.88
16,2015-03-03,43.56,43.83,43.09,43.28
17,2015-03-04,43.01,43.21,42.88,43.06
18,2015-03-05,43.07,43.24,42.82,43.11
19,2015-03-06,43.0,43.11,42.15,42.36
20,2015-03-09,42.19,43.13,42.19,42.85
21,2015-03-10,42.35,42.71,42.03,42.03
22,2015-03-11,42.31,42.37,41.84,41.98
23,2015-03-12,41.33,41.65,40.86,41.02
24,2015-03-13,40.7,41.47,40.61,41.38
25,2015-03-16,41.47,41.64,41.28,41.56
26,2015-03-17,41.37,41.83,41.15,41.7
27,2015-03-18,41.43,42.83,41.33,42.5
28,2015-03-19,42.26,42.59,42.22,42.29
29,2015-03-20,42.56,42.98,42.49,42.88
30,2015-03-23,42.88,43.13,42.78,42.86
31,2015-03-24,42.78,43.17,42.75,42.9
32,2015-03-25,42.92,42.93,41.44,41.46
33,2015-03-26,41.22,41.61,40.92,41.21
34,2015-03-27,41.12,41.43,40.83,40.97
35,2015-03-30,41.1,41.54,40.91,40.96
36,2015-03-31,40.78,41.03,40.54,40.66
37,2015-04-01,40.6,40.76,40.31,40.72
38,2015-04-02,40.66,40.74,40.12,40.29
39,2015-04-06,40.34,41.78,40.18,41.55
