,Date,Open,High,Low,Close
1,2015-02-09,57.42,58.1,57.23,57.82
2,2015-02-10,58.42,58.71,58.05,58.46
3,2015-02-11,58.06,58.66,57.84,58.37
4,2015-02-12,58.93,59.71,58.55,59.57
5,2015-02-13,59.46,60.22,59.34,59.67
6,2015-02-17,59.36,60.14,59.32,60.1
7,2015-02-18,59.79,59.83,59.12,59.37
8,2015-02-19,59.15,59.48,58.8,59.23
9,2015-02-20,58.96,59.89,58.35,59.8
10,2015-02-23,59.5,59.53,58.8,59.35
11,2015-02-24,60.25,61.25,60.08,60.82
12,2015-02-25,60.76,61.27,60.75,61.14
13,2015-02-26,61.03,61.7,60.91,61.58
14,2015-02-27,61.13,61.92,61.13,61.28
15,2015-03-02,61.24,61.83,61.03,61.77
16,2015-03-03,61.65,61.99,61.5,61.97
17,2015-03-04,61.64,62.17,61.35,62.13
18,2015-03-05,62.2,62.23,61.6,62.0
19,2015-03-06,62.16,62.87,60.8,60.89
20,2015-03-09,60.84,61.63,60.8,61.5
21,2015-03-10,60.76,61.01,59.96,59.96
22,2015-03-11,60.13,60.65,59.96,60.24
23,2015-03-12,60.65,61.45,60.65,61.37
24,2015-03-13,61.4,61.86,60.43,61.0
25,2015-03-16,61.5,61.92,61.25,61.85
26,2015-03-17,61.34,61.66,60.92,61.61
27,2015-03-18,61.39,62.05,61.09,61.75
28,2015-03-19,61.57,61.65,60.76,61.2
29,2015-03-20,61.32,62.1,61.15,61.75
30,2015-03-23,61.75,62.08,61.12,61.14
31,2015-03-24,60.97,61.24,60.45,60.46
32,2015-03-25,60.53,60.64,59.59,59.61
33,2015-03-26,59.46,59.79,58.87,59.54
34,2015-03-27,59.49,59.78,59.0,59.55
35,2015-03-30,60.88,61.46,60.61,60.96
36,2015-03-31,60.72,60.94,60.42,60.58
37,2015-04-01,60.41,60.57,59.73,59.95
38,2015-04-02,60.07,60.7,60.0,60.52
39,2015-04-06,59.92,60.75,59.65,60.47
40,2015-04-07,61.15,61.5,60.85,60.85
41,2015-04-08,61.06,61.56,60.94,61.05
42,2015-04-09,61.27,61.58,60.83,61.47
43,2015-04-10,61.35,61.78,61.2,61.7
44,2015-04-13,61.64,62.27,61.5,62.07
45,2015-04-14,62.96,63.61,62.74,63.04
46,2015-04-15,63.08,64.48,63.01,64.21
47,2015-04-16,64.08,64.27,63.66,63.81
48,2015-04-17,63.25,63.4,62.49,62.84
49,2015-04-20,63.22,63.52,63.14,63.24
50,2015-04-21,63.33,63.6,62.13,62.31
51,2015-04-22,62.65,63.15,62.03,62.94
52,2015-04-23,62.79,63.21,62.6,62.8
53,2015-04-24,62.63,62.84,62.34,62.6
54,2015-04-27,62.7,63.15,62.31,62.34
55,2015-04-28,62.49,62.78,61.77,62.76
56,2015-04-29,62.56,63.89,62.46,63.6
57,2015-04-30,63.58,63.88,62.92,63.26
58,2015-05-01,63.7,63.87,63.33,63.61
59,2015-05-04,63.68,64.87,63.64,64.72
60,2015-05-05,64.51,65.32,64.29,64.4
61,2015-05-06,64.53,65.07,63.42,63.92
62,2015-05-07,63.67,64.6,63.25,64.5
63,2015-05-08,64.97,65.65,64.6,65.49
64,2015-05-11,65.26,65.64,65.08,65.45
65,2015-05-12,65.31,65.54,64.76,65.36
66,2015-05-13,65.42,65.63,65.06,65.52
67,2015-05-14,65.83,66.18,65.71,66.05
68,2015-05-15,66.13,66.16,65.44,65.88
69,2015-05-18,65.8,66.54,65.8,66.42
70,2015-05-19,66.77,67.19,66.57,67.01
71,2015-05-20,66.95,67.03,66.4,66.48
72,2015-05-21,66.14,66.68,66.01,66.65
73,2015-05-22,66.63,66.83,66.32,66.47
74,2015-05-26,66.2,66.29,65.31,65.73
75,2015-05-27,65.95,66.65,65.82,66.47
76,2015-05-28,66.36,66.4,65.74,66.2
77,2015-05-29,66.18,66.22,65.36,65.78
78,2015-06-01,0.0,66.66,65.97,66.08
79,2015-06-02,65.83,66.39,65.58,66.02
80,2015-06-03,66.43,67.13,66.27,66.7
81,2015-06-04,66.31,67.05,66.01,66.33
82,2015-06-05,67.37,67.84,67.01,67.42
83,2015-06-08,67.46,67.55,66.81,66.89
84,2015-06-09,66.95,67.27,66.47,67.18
85,2015-06-10,67.59,68.5,67.47,68.26
86,2015-06-11,68.36,68.68,68.15,68.52
87,2015-06-12,68.31,68.54,67.87,68.25
88,2015-06-15,67.58,68.21,67.3,67.99
89,2015-06-16,67.77,68.52,67.62,68.37
90,2015-06-17,68.41,68.68,68.04,68.14
91,2015-06-18,68.35,68.82,67.9,68.78
92,2015-06-19,68.46,68.67,67.92,68.08
93,2015-06-22,68.87,69.29,68.75,68.96
94,2015-06-23,69.35,69.82,69.19,69.75
95,2015-06-24,69.51,69.77,68.91,69.02
96,2015-06-25,69.32,69.47,68.64,68.65
97,2015-06-26,68.94,69.29,68.77,68.95
98,2015-06-29,67.68,68.26,67.16,67.2
99,2015-06-30,67.89,68.11,67.16,67.76
100,2015-07-01,68.12,68.39,67.78,68.07
101,2015-07-02,67.95,68.13,67.19,67.52
102,2015-07-06,66.88,67.46,66.54,67.33
103,2015-07-07,67.09,67.22,65.3,66.8
104,2015-07-08,66.0,66.16,65.21,65.43
105,2015-07-09,66.49,66.7,65.99,66.11
106,2015-07-10,67.22,67.4,66.83,67.05
107,2015-07-13,67.89,68.14,67.68,68.09
108,2015-07-14,67.98,69.1,67.76,69.04
109,2015-07-15,69.23,69.43,68.85,69.19
110,2015-07-16,69.63,69.95,69.41,69.56
111,2015-07-17,69.35,69.49,68.92,69.21
112,2015-07-20,69.5,69.77,69.18,69.26
113,2015-07-21,69.16,69.54,68.87,69.1
114,2015-07-22,69.28,70.29,69.2,70.08
115,2015-07-23,70.19,70.61,69.46,69.64
116,2015-07-24,69.44,69.56,68.68,68.91
117,2015-07-27,68.15,68.22,67.57,68.01
118,2015-07-28,68.55,68.6,67.77,68.05
119,2015-07-29,68.32,69.1,68.16,68.94
120,2015-07-30,68.93,69.45,68.54,69.04
121,2015-07-31,69.01,69.04,68.4,68.53
122,2015-08-03,68.59,68.84,68.0,68.53
123,2015-08-04,68.47,68.95,68.31,68.46
124,2015-08-05,69.05,69.42,68.56,68.73
125,2015-08-06,68.75,68.94,68.0,68.25
126,2015-08-07,68.33,68.74,67.55,68.05
127,2015-08-10,68.22,69.01,68.22,68.89
128,2015-08-11,68.23,68.4,67.85,68.23
129,2015-08-12,67.41,67.55,66.07,67.24
130,2015-08-13,67.25,67.8,66.97,67.55
131,2015-08-14,67.42,67.91,67.4,67.89
132,2015-08-17,67.62,68.24,67.4,68.07
133,2015-08-18,67.98,68.36,67.84,68.21
134,2015-08-19,67.93,68.31,67.36,67.6
135,2015-08-20,66.81,67.04,65.94,65.94
136,2015-08-21,65.09,65.44,63.57,63.6
137,2015-08-24,59.29,62.92,50.07,60.25
138,2015-08-25,63.1,63.32,59.73,59.91
139,2015-08-26,61.8,62.98,60.55,62.91
140,2015-08-27,63.98,64.73,63.14,64.48
141,2015-08-28,64.29,64.46,63.6,64.13
142,2015-08-31,63.61,64.35,63.47,64.1
143,2015-09-01,62.85,62.85,60.99,61.45
144,2015-09-02,62.62,62.91,61.54,62.57
145,2015-09-03,62.88,63.66,62.45,62.68
146,2015-09-04,61.8,61.92,60.75,61.5
147,2015-09-08,62.77,63.2,62.33,63.16
148,2015-09-09,63.94,64.34,62.0,62.18
149,2015-09-10,61.86,63.0,61.45,62.66
150,2015-09-11,62.38,62.66,61.99,62.56
151,2015-09-14,62.64,62.69,62.12,62.38
152,2015-09-15,62.76,63.89,62.51,63.58
153,2015-09-16,63.89,64.29,63.21,64.14
